SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
742205,4766900000.0,1106110300.0,66275996000.0,30.113316,0.12654635,79.94737,41.39242,72152590000.0,0.024,1.7288939
742245,6193642000.0,611800640.0,65405706000.0,32.080074,0.11657002,74.72212,39.765778,72214680000.0,0.024,2.1963086
742278,5446546400.0,456242050.0,68864614000.0,35.515564,0.06352354,72.21095,38.428925,74770170000.0,0.024,1.4946162
742372,4589135000.0,769009700.0,71636550000.0,33.677517,0.14664374,74.40216,39.770073,76998620000.0,0.024,2.150317
742407,5523746300.0,1228639200.0,63808970000.0,24.600138,0.18946017,83.28369,43.68535,70562880000.0,0.024,2.4927301
742425,4718915000.0,2193927400.0,61989454000.0,21.263758,0.33993182,96.04958,47.071415,68902300000.0,0.024,2.3153155
742486,4227610600.0,468479700.0,67885887000.0,35.167515,0.065158285,73.97927,38.631813,72585380000.0,0.024,2.338236
742517,4829582300.0,448765470.0,70774430000.0,33.848907,0.054889984,72.58508,39.99569,76056355000.0,0.024,1.3263149
742544,4708556000.0,984208830.0,64451473000.0,32.074974,0.059133843,74.52785,39.76175,70145950000.0,0.024,1.6585437
742581,1753750800.0,185568530.0,50404856000.0,34.91382,0.071770325,59.530235,33.111084,52345397000.0,0.024,0.69618607
742668,5756261000.0,1071295500.0,60917250000.0,26.668306,0.2275703,81.55887,41.755367,67746340000.0,0.024,1.8633922
742699,5141945300.0,353802180.0,62711816000.0,35.163807,0.03701371,69.01534,36.595936,68209900000.0,0.024,1.1465868
742767,4152148700.0,621881860.0,64392036000.0,32.813503,0.12100574,72.10711,39.287018,69169226000.0,0.024,1.8411595
742796,7327395000.0,620777000.0,57077190000.0,27.876833,0.20866263,74.12761,38.786907,65025360000.0,0.024,1.2314161
742848,5166886400.0,415873730.0,70010330000.0,33.641335,0.04426223,72.9587,39.537,75596240000.0,0.024,0.9666739
742957,7720950300.0,672904640.0,57257787000.0,27.49728,0.15447153,75.45906,39.622707,65651642000.0,0.024,2.5055625
742994,5280918000.0,1294740100.0,60681300000.0,27.180101,0.2954783,77.81242,41.365147,67258200000.0,0.024,1.9339767
743040,2203342800.0,156874130.0,40676990000.0,29.883747,0.020385806,58.31952,32.685978,43038585000.0,0.024,0.9278929
743090,6765997000.0,576947300.0,59018772000.0,29.142561,0.09519034,73.29311,38.8743,66363023000.0,0.024,2.4559965
743135,5392487000.0,683556100.0,61895078000.0,33.636326,0.055946816,68.66102,37.479294,67974260000.0,0.024,2.8339295
743225,5503295000.0,436540600.0,64485052000.0,32.89863,0.07646585,69.99374,39.85777,70427020000.0,0.024,1.047893
743259,4186603000.0,775865000.0,72668370000.0,32.705727,0.069091275,80.7874,41.158077,77634440000.0,0.024,1.3741235
743288,5326020000.0,1512373200.0,62415970000.0,25.071033,0.2565736,83.78898,42.743137,69255710000.0,0.024,2.0854676
743316,6126352400.0,396060740.0,63303500000.0,37.159782,0.06947625,68.83407,36.82021,69827320000.0,0.024,1.329743
743420,4884010000.0,328568960.0,70793036000.0,34.59318,0.037842046,72.28158,39.62776,76007900000.0,0.024,1.8180281
