SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
337335,3321340000.0,387373800.0,26364926000.0,8.973133,0.37633726,85.34451,52.984657,30073637000.0,2.103,1.6618011
337416,11905491000.0,624230700.0,104671100000.0,23.103273,0.61916393,104.76679,66.5691,117202890000.0,2.103,2.6762633
337514,13652355000.0,1239069200.0,91084110000.0,17.662508,1.1732773,113.63882,66.586494,105978630000.0,2.103,2.4999537
337569,13764001000.0,973133800.0,100566510000.0,20.688269,1.0866086,111.523605,63.97148,115305830000.0,2.103,2.1430674
337639,12983088000.0,1509719800.0,92100050000.0,15.795282,1.4020088,120.52939,69.99352,106596460000.0,2.103,1.9130759
337692,14626404000.0,1212391800.0,90909420000.0,19.003036,1.3963101,110.35808,64.95771,106751500000.0,2.103,1.445977
337749,11865174000.0,660983360.0,82034150000.0,18.529078,0.58598226,105.38109,63.618023,94562460000.0,2.103,3.1356897
337750,1627176100.0,256590140.0,10549147000.0,5.1418514,0.43091846,73.132065,46.16132,12432913000.0,2.103,1.0745223
337800,10350304000.0,433536580.0,74525100000.0,20.553066,0.3648389,94.77799,55.29532,85310470000.0,2.103,2.6396122
337801,2751908000.0,149023460.0,21943170000.0,11.418802,0.091695994,69.10229,40.378357,24844100000.0,2.103,1.4782033
338021,12466731000.0,1131228800.0,90553240000.0,16.505312,0.9657659,117.93241,68.958496,104153960000.0,2.103,1.9273537
338227,16406860000.0,1097893500.0,87038520000.0,19.713419,1.192906,107.09136,64.00514,104545665000.0,2.103,3.755946
338273,12194647000.0,923699800.0,101380070000.0,21.607687,0.8242144,108.48883,63.393734,114500520000.0,2.103,1.7106769
338335,14275946000.0,1783509200.0,88913854000.0,16.92447,1.8398565,119.09021,66.969185,104976190000.0,2.103,2.0891802
338382,9011396000.0,978749700.0,84621860000.0,20.4829,0.62429106,100.86925,62.257374,94613670000.0,2.103,1.0524563
338383,2033971500.0,204327820.0,13599230000.0,6.096506,0.25192022,75.338974,47.68442,15837528000.0,2.103,1.6494527
338450,11082649000.0,2274169300.0,106379900000.0,18.235739,1.534032,127.60981,71.27312,119744390000.0,2.103,1.055881
338493,11415625000.0,281824800.0,69627810000.0,22.474194,0.7229183,89.879425,56.45905,81326450000.0,2.103,4.21388
338617,13458168000.0,1149289500.0,96771370000.0,20.73299,0.9631054,107.993614,62.953896,111381920000.0,2.103,1.3498647
338692,10950961000.0,829905540.0,105623950000.0,23.68889,0.83760726,103.4215,64.30931,117407030000.0,2.103,1.4386858
338792,12925412000.0,471355330.0,94950490000.0,23.389633,0.35129192,100.44639,63.11221,108348790000.0,2.103,1.9377122
338908,15033773000.0,1688452600.0,92118204000.0,16.035666,1.5187345,120.900734,68.410416,108844940000.0,2.103,3.9221468
338935,11406559000.0,964295300.0,107046000000.0,20.580523,0.92623955,111.85828,67.49711,119419806000.0,2.103,1.9354541
